SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,24,001,Maryland,Allegany County,1,68106,35759,32347,3111,1610,1501,5956,3099,2857,2856,1504,1352,8209,4306,3903,57632,30295,27337,56183,29546,26637,27021,15322,11699,16671,9906,6765,17439,9100,8339,13864,6234,7630,3111,1610,1501,3245,1668,1577,3426,1825,1601,4666,2364,2302,5684,3052,2632,4398,2576,1822,4309,2685,1624,4132,2407,1725,3832,2238,1594,4066,2188,1878,4273,2341,1932,4527,2267,2260,4573,2304,2269,3994,1952,2042,3688,1711,1977,2628,1185,1443,1855,793,1062,1699,593,1106,41.3,39.4,44.4
050,24,001,Maryland,Allegany County,2,67947,35685,32262,3118,1602,1516,5932,3089,2843,2852,1508,1344,8202,4304,3898,57489,30235,27254,56045,29486,26559,26995,15318,11677,16651,9896,6755,17356,9061,8295,13836,6225,7611,3118,1602,1516,3230,1663,1567,3412,1816,1596,4654,2362,2292,5690,3060,2630,4368,2560,1808,4316,2687,1629,4128,2407,1721,3839,2242,1597,4022,2169,1853,4256,2325,1931,4494,2253,2241,4584,2314,2270,3981,1943,2038,3704,1720,1984,2618,1176,1442,1864,801,1063,1669,585,1084,41.3,39.4,44.3
050,24,001,Maryland,Allegany County,3,67729,35608,32121,3128,1592,1536,5881,3048,2833,2819,1495,1324,8249,4337,3912,57323,30221,27102,55901,29473,26428,27174,15446,11728,16792,9973,6819,17015,8899,8116,13845,6264,7581,3128,1592,1536,3208,1644,1564,3359,1763,1596,4634,2369,2265,5748,3104,2644,4317,2543,1774,4388,2691,1697,4140,2434,1706,3947,2305,1642,3824,2096,1728,4250,2295,1955,4340,2187,2153,4601,2321,2280,3995,1950,2045,3776,1763,2013,2607,1166,1441,1860,798,1062,1607,587,1020,41.1,39.3,43.8
050,24,003,Maryland,Anne Arundel County,1,588261,292707,295554,35485,18065,17420,67741,34633,33108,29103,14654,14449,49636,27398,22238,470407,232655,237752,455932,225355,230577,233980,120319,113661,162614,82023,80591,155375,76233,79142,88307,39701,48606,35485,18065,17420,37069,18783,18286,38045,19606,18439,34948,18212,16736,36418,20084,16334,38611,19936,18675,43043,21372,21671,42947,21591,21356,38013,19124,18889,36521,18087,18434,39460,19338,20122,42598,20776,21822,36796,18032,18764,29312,13859,15453,24021,11017,13004,16302,7453,8849,9687,4119,5568,8985,3253,5732,38.5,37.4,39.7
050,24,003,Maryland,Anne Arundel County,2,588769,292978,295791,35357,18014,17343,67739,34611,33128,29231,14749,14482,49599,27366,22233,470943,232904,238039,456442,225604,230838,234368,120527,113841,162980,82224,80756,155000,76054,78946,88863,39960,48903,35357,18014,17343,37094,18812,18282,38087,19611,18476,34963,18239,16724,36425,20064,16361,38536,19934,18602,43043,21364,21679,43067,21662,21405,38334,19264,19070,36267,17970,18297,39261,19243,20018,42533,20767,21766,36939,18074,18865,29539,13979,15560,24186,11080,13106,16345,7466,8879,9816,4188,5628,8977,3247,5730,38.6,37.4,39.8
050,24,003,Maryland,Anne Arundel County,3,590336,293607,296729,34789,17697,17092,67228,34315,32913,29540,15008,14532,49532,27324,22208,473279,233836,239443,458779,226587,232192,236594,121674,114920,165171,83330,81841,153040,75001,78039,91036,40932,50104,34789,17697,17092,36865,18800,18065,38012,19503,18509,35014,18283,16731,36409,20061,16348,38475,19884,18591,43276,21486,21790,43634,22006,21628,39786,19954,19832,35161,17424,17737,38764,19012,19752,41743,20409,21334,37372,18156,19216,30324,14419,15905,24848,11323,13525,16688,7567,9121,10279,4387,5892,8897,3236,5661,38.7,37.5,39.9
050,24,005,Maryland,Baltimore County,1,854535,406859,447676,50073,25375,24698,94809,48298,46511,42772,21841,20931,73872,36109,37763,688166,322314,365852,666881,311345,355536,327632,158726,168906,221857,106252,115605,222438,105607,116831,148714,63377,85337,50073,25375,24698,51018,25987,25031,54660,27787,26873,55204,27726,27478,50571,24748,25823,54865,26562,28303,59254,28501,30753,56845,27017,29828,50893,24172,26721,50891,24151,26740,54318,25946,28372,59072,28186,30886,58157,27324,30833,48068,22108,25960,38467,17186,21281,24924,10655,14269,16599,6511,10088,20656,6917,13739,39.5,38.1,40.9
050,24,005,Maryland,Baltimore County,2,853073,406061,447012,49738,25212,24526,94544,48199,46345,42929,21892,21037,73663,36002,37661,687192,321732,365460,665862,310758,355104,327178,158425,168753,221506,106031,115475,221506,105105,116401,149187,63620,85567,49738,25212,24526,50921,25920,25001,54543,27779,26764,55186,27687,27499,50486,24707,25779,54481,26346,28135,59092,28392,30700,56844,27016,29828,51089,24277,26812,50524,23934,26590,54117,25830,28287,58726,28012,30714,58139,27329,30810,48262,22223,26039,38798,17324,21474,25072,10740,14332,16603,6499,10104,20452,6834,13618,39.6,38.1,40.9
050,24,005,Maryland,Baltimore County,3,849316,403845,445471,48603,24646,23957,93338,47565,45773,43513,22086,21427,74177,36341,37836,685349,320563,364786,663862,309548,354314,327025,158058,168967,220467,105251,115216,217267,102977,114290,151951,64979,86972,48603,24646,23957,50578,25634,24944,53892,27551,26341,55523,27742,27781,51035,25065,25970,53082,25645,27437,58721,28038,30683,56606,26869,29737,52058,24699,27359,48884,23098,25786,53626,25565,28061,56916,27081,29835,57841,27233,30608,49077,22619,26458,40504,18032,22472,25625,10983,14642,16916,6712,10204,19829,6633,13196,39.7,38.3,41.0
050,24,009,Maryland,Calvert County,1,92783,46218,46565,4937,2550,2387,11121,5755,5366,5525,2786,2739,7343,3835,3508,74006,36538,37468,71200,35127,36073,33897,17195,16702,22372,11255,11117,27144,13410,13734,14341,6627,7714,4937,2550,2387,5877,3046,2831,6587,3390,3197,6346,3250,3096,5179,2690,2489,5119,2649,2470,5568,2779,2789,6109,3031,3078,5576,2796,2780,5757,2779,2978,7043,3516,3527,7888,3916,3972,6456,3199,3257,4857,2371,2486,3781,1830,1951,2647,1249,1398,1557,652,905,1499,525,974,40.5,39.6,41.5
