StartDate,EndDate,Status,IPAddress,,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q24,Q25,Q26,Q27,Q28,Q29,Q31,RandomSurveyID
Start Date,End Date,Response Type,IP Address,,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Demographic Questions,Demographic Questions,Demographic Questions,Demographic Questions,Backup Behavior Questions,Backup Behavior Questions,Backup Behavior Questions,Security Awareness Questions,Security Awareness Questions,Security Awareness Questions,Security Awareness Questions,Security Hygiene Questions,Security Hygiene Questions,Security Hygiene Questions,Security Hygiene Questions,Security Hygiene Questions,History Questions,History Questions,History Questions,History Questions,History Questions,History Questions,History Questions,History Questions,Final Questions,Final Questions,RandomSurveyID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}",,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""RandomSurveyID""}"
12/19/2022 7:47,12/19/2022 8:03,IP Address,88.216.98.34,"“88.216.98.34”,",100,1013,TRUE,12/19/2022 8:03,R_3GlYQhkC8eaQ0n2,,,,,41.8486,-87.6288,anonymous,EN,0.899999976,25-34,Baltimore City,Graduate Degree,1997,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive),I use keep multiple copies of my files on my computer","Weekly,Monthly",Within in a week,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When someone you know sends an email that was forwarded to you encouraging you to forward that message on to everyone in your address book,When someone uses a different password for each web site they access,I do not use multifactor authentication.,"Messages sent to my phone that contain a code,An application on my phone that verifies I am logging in,An application that generates a one-time code,A hardware security token (e.g., YubiKey or Google Titan)",I use a unique complex password for my accounts,"I remember my passwords,I write my passwords down",I have received security awareness training within the past 6 months,Yes,Yes,Yes,100000,Yes,Yes,Yes,Extremely likely,Strongly agree,Somewhat agree,39437
12/24/2022 8:35,12/24/2022 8:39,IP Address,84.32.6.232,"“84.32.6.232”,",100,283,TRUE,12/24/2022 8:39,R_1PTu4BljM0uIV4h,,,,,38.6583,-77.2481,anonymous,EN,0.899999976,25-34,Baltimore City,Graduate Degree,1997,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive),I use removable storage that I keep in my house,I use removable storage that I keep in a location other than my house,I use keep multiple copies of my files on my computer","Weekly,Monthly",Within a month,When a company makes a public announcement about something positive that has happened or is going to happen,When someone in a business setting sends an email to a coworker inappropriately delegating their work to the recipient,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,Messages sent to my phone that contain a code,I use a unique complex password for my accounts,"I remember my passwords,I use a password manager",I have received security awareness training within the past 6 months,Yes,Yes,Yes,100000,Yes,Yes,Yes,Extremely unlikely,Strongly agree,Somewhat agree,35184
11/23/2022 21:15,11/23/2022 21:35,IP Address,107.180.128.138,"“107.180.128.138”,",100,1160,TRUE,11/23/2022 21:35,R_3fPr1TdXBbQ6R3J,,,,,39.0469,-77.4903,anonymous,EN,0.899999976,55-64,I don’t know,Bachelor’s Degree,1960,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive),I use removable storage that I keep in my house,I use keep multiple copies of my files on my computer",Monthly,Within in a week,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone in a business setting sends an email to a coworker inappropriately delegating their work to the recipient,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,"Messages sent to my phone that contain a code,An application that generates a one-time code",I use a unique complex password for my accounts,"I remember my passwords,I use a password manager",I have received security awareness training a year or more ago,No,Yes,Yes,40000,Yes,No,Yes,Somewhat likely,Strongly agree,Strongly agree,74487
11/6/2022 7:02,11/6/2022 7:10,IP Address,81.161.7.10,,97,505,FALSE,11/13/2022 7:10,R_1LYEL5imsE37oFv,,,,,,,anonymous,EN,0.699999988,35-44,Caroline County,Bachelor’s Degree,1987,"I use removable storage that I keep in my house,I use keep multiple copies of my files on my computer",Monthly,Within a year,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone sends an email specifically designed to belittle the recipient,When companies or individuals send out emails to promote or sell their products,When someone uses a different password for each web site they access,I use multifactor authentication on most of my online accounts.,An application that generates a one-time code,"I use personal information (names of pets, children, or friends) as all or part of my password",I use a password manager,I have received security awareness training within the past month,No,I don't know,Yes,25000,No,I don't know,No,Neither likely nor unlikely,Neither agree nor disagree,Somewhat agree,60886
1/31/2023 20:20,1/31/2023 20:31,IP Address,192.126.194.171,,100,656,TRUE,1/31/2023 20:31,R_1jp1ukie8i4Siv9,,,,,37.751,-97.822,anonymous,EN,0.899999976,35-44,Somerset County,Graduate Degree,1979,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive),I use removable storage that I keep in my house,I use removable storage that I keep in a location other than my house,I use keep multiple copies of my files on my computer","Continuously,Daily,Weekly,Monthly,Once a year or less frequently",Within a day,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,The Frequent changing of a passwords so it is harder for an attacker to guess,I use multifactor authentication on most of my online accounts.,"Messages sent to my phone that contain a code,An application on my phone that verifies I am logging in,An application that generates a one-time code,A hardware security token (e.g., YubiKey or Google Titan)","I use the same password for most of my accounts,I use passwords that are similar but different for all of my accounts,I use personal information (names of pets, children, or friends) as all or part of my password","I remember my passwords,I write my passwords down,I use a password manager",I have received security awareness training within the past 6 months,Yes,Yes,Yes,22000,Yes,Yes,Yes,Somewhat likely,Strongly disagree,Somewhat disagree,36447
11/6/2022 7:02,11/6/2022 7:10,IP Address,81.161.7.10,,100,496,TRUE,11/6/2022 7:10,R_1jq5IR2keZ0V39Q,,,,,40.7662,-74.0178,anonymous,EN,0.699999988,35-44,Caroline County,Bachelor’s Degree,1987,I use removable storage that I keep in a location other than my house,Monthly,Within a year,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When a someone fraudulently sends email to people to convince them to take an action which may harm them,Adding different numbers to the ends of a usernames so a user never has the same username on multiple sites,I use multifactor authentication on most of my online accounts.,An application on my phone that verifies I am logging in,"I use personal information (names of pets, children, or friends) as all or part of my password",I use a password manager,I have received security awareness training within the past 6 months,No,No,Yes,20000,I don't know,Yes,I don't know,Neither likely nor unlikely,Somewhat agree,Neither agree nor disagree,71779
2/1/2023 18:43,2/1/2023 18:50,IP Address,45.196.148.122,,100,463,TRUE,2/1/2023 18:50,R_3KUzgFkzr3M3dQY,,,,,39.0469,-77.4903,anonymous,EN,0.800000012,45-54,Allegany County,Bachelor’s Degree,1972,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive),I use removable storage that I keep in my house,I use removable storage that I keep in a location other than my house,I use keep multiple copies of my files on my computer","Daily,Weekly,Monthly,Less often than monthly but at least once a year,Once a year or less frequently",Within in a week,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When a someone fraudulently sends email to people to convince them to take an action which may harm them,Adding different numbers to the ends of a usernames so a user never has the same username on multiple sites,I use multifactor authentication wherever it is offered to me.,"Messages sent to my phone that contain a code,An application on my phone that verifies I am logging in,An application that generates a one-time code,A hardware security token (e.g., YubiKey or Google Titan)","I use the same password for most of my accounts,I use passwords that are similar but different for all of my accounts,I use personal information (names of pets, children, or friends) as all or part of my password,I use a unique complex password for my accounts","I remember my passwords,I use a password manager",I have never received security awareness training.,Yes,Yes,Yes,20000,Yes,Yes,Yes,Somewhat likely,Somewhat agree,Somewhat agree,23059
1/31/2023 22:56,1/31/2023 23:23,IP Address,172.98.189.173,,100,1578,TRUE,1/31/2023 23:23,R_1GB3YXnYlrpUaNX,,,,,40.0025,-75.1134,anonymous,EN,0.899999976,25-34,Saint Mary’s County,Bachelor’s Degree,1996,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)","Continuously,Daily",Within in a week,Any action in which someone tries to convince another person to take an action which may not be in their best interests,When someone sends an email specifically designed to belittle the recipient,When someone sends an email to a large group of people and one of the recipients replies with a personal response to all recipients of the original email,The Frequent changing of a passwords so it is harder for an attacker to guess,I use multifactor authentication on my important online accounts.,"Messages sent to my phone that contain a code,An application that generates a one-time code","I use the same password for all of my accounts,I use passwords that are similar but different for all of my accounts","I write my passwords down,I use a password manager",I have received security awareness training within the past month,Yes,Yes,Yes,15000,Yes,Yes,Yes,Extremely likely,Strongly agree,Strongly agree,60865
