ResponseId,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q24,Q25,Q26,Q27,Q28,Q29,Q31,RandomSurveyID
Response ID,Demographic Questions,Demographic Questions,Demographic Questions,Demographic Questions,Backup Behavior Questions,Backup Behavior Questions,Backup Behavior Questions,Security Awareness Questions,Security Awareness Questions,Security Awareness Questions,Security Awareness Questions,Security Hygiene Questions,Security Hygiene Questions,Security Hygiene Questions,Security Hygiene Questions,Security Hygiene Questions,History Questions,History Questions,History Questions,History Questions,History Questions,History Questions,History Questions,History Questions,Final Questions,Final Questions,RandomSurveyID
"{""ImportId"":""_recordId""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""RandomSurveyID""}"
R_2CqUd9CXCG0tzGD,25-34,Baltimore City,Graduate Degree,1988,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house",Continuously,Within a year,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication wherever it is offered to me.,Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in;An application that generates a one-time code,I use passwords that are similar but different for all of my accounts;I use a unique complex password for my accounts,I remember my passwords;I use a password manager,I don’t know.,I don't know,Yes,No,0,Yes,No,Yes,Somewhat likely,Somewhat agree,Somewhat agree,20954
R_3EGstGM2YVAsvp6,55-64,St. Mary's County,Bachelor’s Degree,1960,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house;I use removable storage that I keep in a location other than my house;I keep multiple copies of my files on my computer",Continuously;Daily;Weekly;Monthly,Within in a week,"Attempting to inform people about the use of proper security policies, processes, and procedures",Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When someone sends an email to a large group of people and one of the recipients replies with a personal response to all recipients of the original email,When someone uses a different password for each web site they access,I use multifactor authentication on my important online accounts.,Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in;An application that generates a one-time code,"I use the same password for most of my accounts;I use passwords that are similar but different for all of my accounts;I use personal information (names of pets, children, or friends) as all or part of my password",I remember my passwords;I write my passwords down,I have received security awareness training within the past year,No,No,No,0,No,No,No,Neither likely nor unlikely,Strongly agree,Neither agree nor disagree,48669
R_2R52aDdvzDLKmXJ,25-34,I don’t know,Bachelor’s Degree,1990,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Weekly;Monthly,Within in a week,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on most of my online accounts.,An application on my phone that verifies I am logging in,I use the same password for most of my accounts,I remember my passwords;I use a password manager,I have never received security awareness training.,No,No,No,0,Yes,No,No,Somewhat unlikely,Somewhat agree,Somewhat disagree,20757
R_2djdShi2f5RLxdK,25-34,Allegany County,Bachelor’s Degree,1995,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house;I use removable storage that I keep in a location other than my house;I keep multiple copies of my files on my computer",Continuously,Within in a week,When a company makes a public announcement about something positive that has happened or is going to happen,When someone in a business setting sends an email to a coworker inappropriately delegating their work to the recipient,When companies or individuals send out emails to promote or sell their products,Adding different numbers to the ends of a usernames so a user never has the same username on multiple sites,I use multifactor authentication on most of my online accounts.,An application on my phone that verifies I am logging in;An application that generates a one-time code,I use the same password for most of my accounts,I write my passwords down,I have received security awareness training within the past month,I don't know,Yes,No,250,Yes,Yes,Yes,Extremely likely,Somewhat agree,Somewhat agree,32330
R_1dFdiUBHkKjZ0R3,18-24,Washington County,Bachelor’s Degree,2001,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in a location other than my house",Continuously;Daily,Within in a week,Any action in which someone tries to convince another person to take an action which may not be in their best interests,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,Adding different numbers to the ends of a usernames so a user never has the same username on multiple sites,I use multifactor authentication on my important online accounts.,Messages sent to my phone that contain a code,I use the same password for most of my accounts,I write my passwords down,I have received security awareness training within the past month,I don't know,I don't know,I don't know,0,I don't know,I don't know,I don't know,Neither likely nor unlikely,Neither agree nor disagree,Neither agree nor disagree,37603
R_3PChFuFeH3GFKH7,35-44,Prince George's County,Graduate Degree,1985,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house",Continuously,Within a day,Any action in which someone tries to convince another person to take an action which may not be in their best interests,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in,I use a unique complex password for my accounts,I remember my passwords;I write my passwords down,I have received security awareness training within the past month,No,No,No,0,Yes,No,No,Somewhat likely,Somewhat agree,Somewhat agree,20040
R_xhpjxR7lXDP41Fv,25-34,Washington County,Bachelor’s Degree,1992,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in a location other than my house",Daily,Within in a week,Any action in which someone tries to convince another person to take an action which may not be in their best interests,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,Adding different numbers to the ends of a usernames so a user never has the same username on multiple sites,I use multifactor authentication on my important online accounts.,Messages sent to my phone that contain a code,I use the same password for most of my accounts,I remember my passwords,I have received security awareness training within the past month,I don't know,I don't know,I don't know,0,I don't know,I don't know,I don't know,Neither likely nor unlikely,Neither agree nor disagree,Neither agree nor disagree,22124
R_ZIt0mp3EDubhug1,35-44,Baltimore City,Graduate Degree,1978,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house;I keep multiple copies of my files on my computer",Daily;Weekly,Within a month,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in,"I use the same password for most of my accounts;I use personal information (names of pets, children, or friends) as all or part of my password",I remember my passwords;I write my passwords down,I have received security awareness training within the past month,No,I don't know,Yes,50,Yes,I don't know,Yes,Somewhat unlikely,Somewhat agree,Somewhat agree,26541
R_1BX8xIozSnONxaE,25-34,Baltimore City,Graduate Degree,1989,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I keep multiple copies of my files on my computer;I do not back up my data",Continuously;Monthly,Within a month,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone sends an email specifically designed to belittle the recipient,When someone you know sends an email that was forwarded to you encouraging you to forward that message on to everyone in your address book,When someone uses a different password for each web site they access,I use multifactor authentication wherever it is offered to me.,An application that generates a one-time code,I use the same password for most of my accounts,I use a password manager,I have received security awareness training within the past month,I don't know,I don't know,I don't know,0,I don't know,Yes,No,Neither likely nor unlikely,Strongly agree,Somewhat agree,33720
R_1dui5gi5nGH1jGY,25-34,Carroll County,Bachelor’s Degree,1993,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house;I use removable storage that I keep in a location other than my house;I keep multiple copies of my files on my computer",Daily;Monthly;Less often than monthly but at least once a year,Within a month,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone sends an email specifically designed to belittle the recipient,When someone you know sends an email that was forwarded to you encouraging you to forward that message on to everyone in your address book,I don’t know,I don’t know.,Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in,"I use the same password for most of my accounts;I use personal information (names of pets, children, or friends) as all or part of my password",I remember my passwords,I have received security awareness training within the past 6 months,I don't know,No,No,0,I don't know,No,No,Somewhat unlikely,Somewhat agree,Neither agree nor disagree,24935
R_2tlJeC4JYSTL6lI,45-54,I don’t know,Bachelor’s Degree,1975,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house;I use removable storage that I keep in a location other than my house",Monthly,Within in a week,Any action in which someone tries to convince another person to take an action which may not be in their best interests,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,Adding different numbers to the ends of a usernames so a user never has the same username on multiple sites,I use multifactor authentication on most of my online accounts.,An application on my phone that verifies I am logging in,I use the same password for most of my accounts,I remember my passwords;I write my passwords down,I have received security awareness training within the past month,I don't know,Yes,I don't know,0,Yes,I don't know,Yes,Somewhat likely,Strongly agree,Strongly agree,27694
R_1ImIBYvc7UOaDEl,25-34,Baltimore County,Bachelor’s Degree,1994,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house;I keep multiple copies of my files on my computer",Monthly,Within a month,Any action in which someone tries to convince another person to take an action which may not be in their best interests,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in;An application that generates a one-time code,I use a unique complex password for my accounts,I remember my passwords;I write my passwords down,I have received security awareness training within the past 6 months,No,No,Yes,1500,No,Yes,Yes,Neither likely nor unlikely,Somewhat disagree,Neither agree nor disagree,39716
